Month,Sessions,Potential_Revenue,Reservations,Cost,CVR,Avg_Rev_per_Trans,Open_Rooms,Rented_Rooms,Occupancy,Avg_Web_Price,Per_Visit_Value,Clicks,Click_Through_Rate,Cost_per_Click,Revenue_per_Click,Total_Reservations,Percent_Paid_Search
1/1/2014,10593,,276,44038.24,2.61,,3550,50835,0.94,121.77,,9611,0.82,5.04,,283,0.98
2/1/2014,10586,,143,23930.45,1.41,,3780,50620,0.93,114.98,,8713,0.60,3.15,,225,0.64
3/1/2014,11865,,227,33261.70,2.01,,3945,50472,0.93,122.68,,16543,0.58,2.41,,300,0.76
4/1/2014,14006,,334,44326.36,2.44,,4066,50364,0.93,123.15,,10448,1.11,4.59,,494,0.68
5/1/2014,12587,,387,34999.67,3.13,,4147,50458,0.92,153.64,,9184,1.32,3.97,,658,0.59
6/1/2014,10430,,195,51546.41,1.89,,2658,52144,0.95,186.13,,7752,1.13,6.91,,363,0.54
7/1/2014,12248,,248,46004.16,2.05,,3072,52005,0.94,171.92,,9050,0.80,5.73,,391,0.63
8/1/2014,12816,,270,45147.12,2.15,,3137,52048,0.94,139.12,,9581,0.84,5.33,,484,0.56
9/1/2014,13812,,237,61914.14,1.74,,4259,50805,0.92,138.70,,11280,0.75,6.35,,352,0.67
10/1/2014,10640,,277,77243.33,2.62,,4951,50113,0.91,111.82,,7607,0.46,10.48,,428,0.65
11/1/2014,11404,,285,77458.52,2.59,,4868,50124,0.91,108.27,,8718,0.23,9.65,,443,0.64
12/1/2014,9770,,230,55007.10,2.38,,4889,50079,0.91,103.36,,7089,0.46,8.60,,446,0.52
1/1/2015,11537,,252,64742.11,2.21,,4708,50252,0.91,130.94,,9363,0.19,7.99,,348,0.72
2/1/2015,8954,18573,154,45173.77,1.80,120.60,4567,50363,0.92,121.25,1.90,6883,0.24,7.63,2.47,460,0.34
3/1/2015,10479,21942,189,59284.05,1.82,116.10,4484,50420,0.92,125.94,2.09,8016,0.30,8.64,2.74,671,0.28
4/1/2015,13113,48075,426,95913.62,3.29,112.85,4145,50751,0.92,119.19,3.67,10269,0.37,10.48,4.68,1365,0.31
5/1/2015,15513,73986,571,133865.80,3.71,129.57,3719,51206,0.93,144.98,4.77,11963,0.53,11.89,6.18,1667,0.34
6/1/2015,10203,40398,253,92554.23,2.49,159.68,1746,53299,0.97,184.42,3.96,9233,1.13,10.33,4.38,814,0.31
7/1/2015,12785,51472,353,92373.40,2.79,145.81,1736,53310,0.97,160.57,4.03,10178,0.88,9.56,5.06,982,0.36
8/1/2015,13623,56120,427,103687.22,3.17,131.43,1476,53473,0.97,143.36,4.12,10779,1.81,9.93,5.21,1101,0.39
9/1/2015,10411,33000,289,64798.55,2.79,114.19,2037,52763,0.96,135.84,3.17,8178,7.86,7.94,4.04,770,0.38
10/1/2015,12571,47002,411,92188.01,3.34,114.36,2881,51775,0.95,122.32,3.74,9841,1.29,9.76,4.78,862,0.48
11/1/2015,11001,34776,345,108509.40,3.17,100.80,2726,51891,0.95,113.10,3.16,8982,1.28,12.64,3.87,798,0.43
12/1/2015,10022,28360,296,86545.97,3.04,95.81,2755,51946,0.95,105.73,2.83,7775,1.15,11.77,3.65,730,0.41
1/1/2016,11017,36601,326,90313.80,3.00,112.27,2687,52038,0.95,117.99,3.32,8770,0.65,11.15,4.17,742,0.44
2/1/2016,11548,27120,182,86506.91,1.65,149.01,3723,52001,0.93,141.94,2.35,9149,0.48,10.50,2.96,580,0.31
3/1/2016,11814,19861,125,83566.48,1.10,158.89,3303,51884,0.94,138.42,1.68,10249,0.55,9.12,1.94,642,0.20
4/1/2016,19346,50365,505,108179.62,2.65,99.73,3460,51898,0.94,114.24,2.60,17250,0.30,7.42,2.92,1272,0.40
5/1/2016,26508,82462,640,192555.50,2.44,128.85,3521,52166,0.94,155.67,3.11,24024,0.45,8.81,3.43,1497,0.43
6/1/2016,11083,51545,296,100552.75,2.71,174.14,1753,54118,0.97,200.95,4.65,9673,0.83,11.25,5.33,780,0.38
7/1/2016,11253,51565,302,95634.96,2.74,170.75,1848,54060,0.97,180.95,4.58,9986,1.03,10.39,5.16,795,0.38
