Time_Period,Month,MonthNum,Year,Reservations,Cost,Year_Times_Cost,Log_Cost
1/1/2014,1,1,1,276,44038.24,44038.24,10.69281363
2/1/2014,2,2,1,143,23930.45,23930.45,10.08290699
3/1/2014,3,3,1,227,33261.7,33261.7,10.41216186
4/1/2014,4,4,1,334,44326.36,44326.36,10.69933481
5/1/2014,5,5,1,387,34999.67,34999.67,10.46309391
6/1/2014,6,6,1,195,51546.41,51546.41,10.85023785
7/1/2014,7,7,1,248,46004.16,46004.16,10.73648711
8/1/2014,8,8,1,270,45147.12,45147.12,10.71768177
9/1/2014,9,9,1,237,61914.14,61914.14,11.03350387
10/1/2014,10,10,1,277,77243.33,77243.33,11.25471585
11/1/2014,11,11,1,285,77458.52,77458.52,11.25749785
12/1/2014,12,12,1,230,55007.1,55007.1,10.91521755
1/1/2015,1,13,2,252,64742.11,129484.22,11.07816712
2/1/2015,2,14,2,154,45173.77,90347.54,10.71827189
3/1/2015,3,15,2,189,59284.05,118568.1,10.99009558
4/1/2015,4,16,2,426,95913.62,191827.24,11.47120327
5/1/2015,5,17,2,571,133865.8,267731.6,11.80459308
6/1/2015,6,18,2,253,92554.23,185108.46,11.43555002
7/1/2015,7,19,2,353,92373.4,184746.8,11.43359434
8/1/2015,8,20,2,427,103687.22,207374.44,11.54913415
9/1/2015,9,21,2,289,64798.55,129597.1,11.07903851
10/1/2015,10,22,2,411,92188.01,184376.02,11.43158536
11/1/2015,11,23,2,345,108509.4,217018.8,11.59459208
12/1/2015,12,24,2,296,86545.97,173091.94,11.368431
