Date,Month,Sessions,Potential_Revenue,Reservations,Cost,CVR,Avg_Rev_per_Trans,Open_Rooms,Rented_Rooms,Occupancy,Avg_Web_Price,Per_Visit_Value,Clicks,Click_Through_Rate,Cost_per_Click,Revenue_per_Click,Total_Reservations,Percent_Paid_Search
1/1/2014,1,10593,,276,44038.24,2.61,,3550,50835,0.94,121.77,,9611,0.82,5.04,,283,0.98
2/1/2014,2,10586,,143,23930.45,1.41,,3780,50620,0.93,114.98,,8713,0.6,3.15,,225,0.64
3/1/2014,3,11865,,227,33261.7,2.01,,3945,50472,0.93,122.68,,16543,0.58,2.41,,300,0.76
4/1/2014,4,14006,,334,44326.36,2.44,,4066,50364,0.93,123.15,,10448,1.11,4.59,,494,0.68
5/1/2014,5,12587,,387,34999.67,3.13,,4147,50458,0.92,153.64,,9184,1.32,3.97,,658,0.59
6/1/2014,6,10430,,195,51546.41,1.89,,2658,52144,0.95,186.13,,7752,1.13,6.91,,363,0.54
7/1/2014,7,12248,,248,46004.16,2.05,,3072,52005,0.94,171.92,,9050,0.8,5.73,,391,0.63
8/1/2014,8,12816,,270,45147.12,2.15,,3137,52048,0.94,139.12,,9581,0.84,5.33,,484,0.56
9/1/2014,9,13812,,237,61914.14,1.74,,4259,50805,0.92,138.7,,11280,0.75,6.35,,352,0.67
10/1/2014,10,10640,,277,77243.33,2.62,,4951,50113,0.91,111.82,,7607,0.46,10.48,,428,0.65
11/1/2014,11,11404,,285,77458.52,2.59,,4868,50124,0.91,108.27,,8718,0.23,9.65,,443,0.64
12/1/2014,12,9770,,230,55007.1,2.38,,4889,50079,0.91,103.36,,7089,0.46,8.6,,446,0.52
1/1/2015,1,11537,,252,64742.11,2.21,,4708,50252,0.91,130.94,,9363,0.19,7.99,,348,0.72
2/1/2015,2,8954,18573,154,45173.77,1.8,120.6,4567,50363,0.92,121.25,1.9,6883,0.24,7.63,2.47,460,0.34
3/1/2015,3,10479,21942,189,59284.05,1.82,116.1,4484,50420,0.92,125.94,2.09,8016,0.3,8.64,2.74,671,0.28
4/1/2015,4,13113,48075,426,95913.62,3.29,112.85,4145,50751,0.92,119.19,3.67,10269,0.37,10.48,4.68,1365,0.31
5/1/2015,5,15513,73986,571,133865.8,3.71,129.57,3719,51206,0.93,144.98,4.77,11963,0.53,11.89,6.18,1667,0.34
6/1/2015,6,10203,40398,253,92554.23,2.49,159.68,1746,53299,0.97,184.42,3.96,9233,1.13,10.33,4.38,814,0.31
7/1/2015,7,12785,51472,353,92373.4,2.79,145.81,1736,53310,0.97,160.57,4.03,10178,0.88,9.56,5.06,982,0.36
8/1/2015,8,13623,56120,427,103687.22,3.17,131.43,1476,53473,0.97,143.36,4.12,10779,1.81,9.93,5.21,1101,0.39
9/1/2015,9,10411,33000,289,64798.55,2.79,114.19,2037,52763,0.96,135.84,3.17,8178,7.86,7.94,4.04,770,0.38
10/1/2015,10,12571,47002,411,92188.01,3.34,114.36,2881,51775,0.95,122.32,3.74,9841,1.29,9.76,4.78,862,0.48
11/1/2015,11,11001,34776,345,108509.4,3.17,100.8,2726,51891,0.95,113.1,3.16,8982,1.28,12.64,3.87,798,0.43
12/1/2015,12,10022,28360,296,86545.97,3.04,95.81,2755,51946,0.95,105.73,2.83,7775,1.15,11.77,3.65,730,0.41
